newpid,exchange,beta1,abs_ret_se,beta2,pos_se,beta3,interact_se,abs_ret_pval,pos_pval,interact_pval,r2_w,r2_b,r2_o,rho,n_panels,avg_dates,total_obs,beta1_flag,beta2_flag,beta3_flag,summation,freq
++-,coinmate,.089534223,.015433494,.12515846,.030955169,-.16351075,.012022267,9.2898908e-06,.00058596506,6.9996769e-12,.026246905,.043792769,.02609174,.017062673,22,1239,27258,+,+,-,-.073976532,19
++-,timex,.24975576,.035451543,.47108328,.13194229,-.314917,.039572045,5.8193605e-06,.003074022,1.4557739e-06,.056783397,.20880455,.061042171,.062495437,15,958.33331,14375,+,+,-,-.065161243,19
++-,btcalpha,.059999652,.019634349,.31507522,.12904471,-.15132792,.035026919,.0039369017,.019024983,.000096615353,.011633426,.36529261,.0097583793,.4823969,42,469.07144,19701,+,+,-,-.091328271,19
++-,coinfield,.054293409,.0074261115,.13607889,.02356673,-.075285837,.0086493297,1.2869954e-09,3.9152684e-07,7.3231456e-12,.0042691585,.18867227,.0037246069,.92088467,55,1247.1637,68594,+,+,-,-.020992428,19
++-,btctradeua,.58018428,.059785064,.71758568,.19524083,-.63332409,.067046784,1.4141470e-08,.0017309806,2.1311291e-08,.10868097,.09484002,.098498583,.18122284,19,423.78946,8052,+,+,-,-.053139806,19
++-,dsx,.40366283,.037699766,1.1099176,.20601188,-.48823404,.038454439,6.8937531e-13,4.2369811e-06,4.7053934e-15,.028925253,.00077472458,.025062945,.14124207,38,307.97369,11703,+,+,-,-.084571213,19
++-,braziliex,.44500828,.1061861,.51740307,.18923666,-.73259848,.075770982,.00019512878,.009978272,3.7392971e-11,.030174486,.049770974,.018160218,.84460902,34,407.58823,13858,+,+,-,-.28759021,19
++-,tokok,.14942375,.016638629,.5409202,.073838957,-.16627111,.017081367,1.8103445e-13,2.4173427e-10,6.9214260e-15,.062426597,.0062061683,.057766914,.040525544,75,497.56,37317,+,+,-,-.016847357,19
++-,lakebtc,.17206,.03003869,.33437449,.06724491,-.27776566,.046239831,.00071444444,.0016146287,.00053845311,.016912213,.62208098,.015759643,.11489473,8,981.375,7851,+,+,-,-.10570566,19
++-,poloniexfts,.30993387,.030223465,.4732165,.098734096,-.32554018,.029900078,1.7514804e-11,.000038861181,4.0475674e-12,.19016384,.60118967,.19165252,.013250533,32,331.875,10620,+,+,-,-.015606314,19
++-,upbit,.1835953,.026231708,.11561326,.05806664,-.20205534,.017150158,3.5214071e-11,.04779109,7.4562245e-25,.020365717,.1047744,.019651501,.19297183,208,834.36536,173548,+,+,-,-.018460035,19
++-,aax,.12205256,.028804814,.42895859,.12530191,-.16849346,.03154815,.000036444835,.00076926698,2.8308034e-07,.01369955,.01177592,.013142818,.41875568,177,353.56497,62581,+,+,-,-.046440907,19
++-,cryptomkt,.25109279,.063890494,.3861995,.15763214,-.21997155,.027768129,.0002013698,.01686489,3.0399652e-11,.0023105117,.0048921052,.0012175905,.47243354,69,399.50723,27566,+,+,-,.031121239,19
++-,deltaexchange,.025524016,.0042236736,.044448588,.014152092,-.0337536,.0047018183,3.0213208e-08,.0022529354,1.6187822e-10,.021960152,.099460736,.022261117,.047643524,95,328.97894,31253,+,+,-,-.0082295835,19
++-,bitubu,.055555735,.013562572,.10446015,.038279105,-.091725536,.01462401,.00015356109,.0087474836,8.2468304e-08,.057790812,.020743543,.051692799,.10676691,51,563.17645,28722,+,+,-,-.036169801,19
++-,bkex,.13085149,.018691629,.48072433,.076843739,-.16574331,.018190345,1.3611838e-11,1.1845650e-09,7.0679275e-18,.0095155854,.013359212,.0045685535,.62942976,342,552.00293,188785,+,+,-,-.034891814,19
++-,livecoin,.32502279,.092228502,.63302231,.17908223,-.59180421,.057158478,.00063531363,.00061280461,1.2087310e-17,.031987492,.003018515,.02522997,.84760696,104,219.66347,22845,+,+,-,-.26678142,19
++-,bittrex,.085334666,.015298277,.12337749,.049502283,-.16553657,.013125934,5.8857999e-08,.013287432,5.2992161e-29,.012453495,.068330728,.011780079,.73436916,272,745.58453,202799,+,+,-,-.080201901,19
++-,folgory,.20558965,.011326071,.45852321,.11669622,-.34324628,.028950324,5.3498488e-32,.00016582526,3.7123426e-20,.14584039,.00062419596,.14472595,.049035151,92,495.05435,45545,+,+,-,-.13765663,19
+--,etorox,.050013699,.01584805,-.32753077,.078733183,-.099063024,.01860716,.0023043589,.000083840685,1.0211953e-06,.025026493,.0069918064,.021024099,.16162898,76,261.28946,19858,+,-,-,-.049049325,11
+--,independentreserve,.17192985,.014981742,-.16866013,.067894138,-.27437335,.019090571,2.3540579e-21,.014287709,2.0950584e-28,.021738613,.0023371507,.022117579,.090391658,128,713.16406,91285,+,-,-,-.1024435,11
+--,novadax,.11723592,.02890476,-.31080908,.086986549,-.091226786,.022788391,.000059340789,.00039293867,.000073651026,.0056526931,.0046695508,.0040457249,.61425495,429,480.00467,205922,+,-,-,.026009135,11
+--,indodax,.19786765,.013257311,-.25208488,.046942104,-.22019212,.013546219,5.3545289e-35,2.0437412e-07,0,.033369027,.023622615,.024085712,.67980975,215,657.68372,141402,+,-,-,-.022324473,11
+--,currencycom,.042557631,.017599141,-.27292415,.053530224,-.1213561,.01663493,.016721833,9.5690427e-07,1.3064466e-11,.018982626,.00034836066,.015010228,.83926982,161,371.37268,59791,+,-,-,-.078798473,11
+--,krakenfts,.0066921418,.0017162728,-.017480044,.0087508233,-.0088186283,.0020227795,.0001430234,.047506057,.000023551076,.0025909625,.20379092,.002996275,.076522119,157,275.40765,43239,+,-,-,-.0021264865,11
+--,bilaxy,.079834916,.009361499,-.46998215,.071248077,-.10985877,.010773055,4.7754528e-14,1.1425731e-09,4.9080092e-18,.064255171,.012319643,.061299022,.30623195,123,169.44716,20842,+,-,-,-.030023851,11
+--,okcoinusd,.085907556,.015241087,-.17324588,.071422271,-.096560419,.017005106,2.3840521e-07,.017475717,2.0017741e-07,.019627046,.19109617,.021129852,.038083848,83,305.91565,25391,+,-,-,-.010652862,11
+--,southxchange,.12788285,.028120555,-.25115231,.10455795,-.25262356,.021001536,.000024738722,.019216811,4.4398522e-18,.012461902,.2570889,.012211427,.057047255,65,685,44525,+,-,-,-.1247407,11
+--,wazirx,.092209965,.012775991,-.40095893,.0612946,-.14683627,.015022576,1.8139002e-12,1.4194633e-10,7.0184401e-21,.0070260414,.0036828478,.0057974574,.29988229,539,650.98328,350880,+,-,-,-.054626301,11
+--,bitpandapro,.044545934,.020578098,-.13020957,.061433237,-.054195974,.025703115,.034397397,.038192198,.039168552,.0014787747,.013669621,.0015169624,.018213036,61,444.36066,27106,+,-,-,-.0096500404,11
+N-,gemini,.14078809,.062074993,.35219136,.19760901,-.16180134,.063777775,.025374025,.07759662,.01265248,.012233985,.58357608,.013207866,.95944023,106,1026.4056,108799,+,N,-,-.021013245,60
+N-,bitvast,.049601976,.0099660186,-.055258334,.038018536,-.058778014,.01411495,.0076129381,.2197627,.01409673,.025793808,.48837531,.025205081,.0017501346,5,565.79999,2829,+,N,-,-.0091760382,60
+N-,altilly,.82309115,.35372844,1.6734266,1.3025184,-1.2869384,.46903855,.024866251,.20591608,.0088942135,.01482577,.16761199,.010507808,.97951061,43,107.23256,4611,+,N,-,-.46384728,60
+N-,bybitusdc,.0069358363,.0016528752,.004175493,.0070846071,-.0072567235,.0019824924,.00027980236,.56069642,.0011260887,.0072500487,.028010458,.0084071392,.08350452,27,258.25925,6973,+,N,-,-.00032088719,60
+N-,bbx,.046369195,.020712541,.012223715,.0601249,-.041598801,.014901808,.040762562,.84162861,.013691747,.002507051,.17694156,.00053958932,.04673478,16,222.9375,3567,+,N,-,.0047703944,60
+N-,bibox,.22073917,.067607835,-.59040391,.35624498,-.37780246,.086441211,.0024511334,.10639779,.00010552119,.040841654,.10835287,.041839708,.2185539,36,174.08333,6267,+,N,-,-.15706329,60
+N-,okexkr,.1014496,.024122555,.18052624,.1076819,-.17707276,.031120377,.00005850181,.096898504,1.3754007e-07,.054094993,.14100163,.056148428,.4949272,97,135.34021,13128,+,N,-,-.075623162,60
+N-,stex,.33166778,.076886386,.19471198,.45993122,-.63796419,.1437552,.00037447258,.67679328,.00028234808,.011836557,.042338829,.0056256475,.98960167,20,170.89999,3418,+,N,-,-.30629641,60
+N-,artisturba,.43842363,.12070809,.42359498,.57890195,-.85172623,.14095309,.0083744749,.48810589,.00051974942,.058482189,.031017039,.058150012,.017606469,8,324.75,2598,+,N,-,-.4133026,60
+N-,bitcoinid,.13613705,.016814308,-.042156968,.056179538,-.19058013,.019998284,.000040053172,.47450498,.000012146575,.059202246,.1831907,.056666411,.022334132,9,1729.2222,15563,+,N,-,-.054443076,60
+N-,cexio,.23331884,.058922257,.14623864,.34520701,-.323533,.078455366,.00042643101,.6748606,.00027144465,.014268088,.075366214,.011692794,.45577541,31,317.19354,9833,+,N,-,-.090214163,60
+N-,hbtc,.090971686,.016302729,.048253469,.1247638,-.15517415,.030739125,2.9432437e-07,.69992477,2.5972365e-06,.044090401,.013294503,.037620571,.25401369,84,330.5238,27764,+,N,-,-.064202465,60
+N-,kryptono,.24242347,.011410506,-.010427305,.24375744,-.37117183,.033622034,.0022081069,.96976566,.0081057344,.029391635,.22533417,.024732322,.12607838,3,573.33331,1720,+,N,-,-.12874836,60
+N-,coinone,.25843319,.027291697,.067067251,.070789278,-.20991504,.030060016,.000030613275,.37497452,.00021474005,.050944634,.559358,.047709152,.011576281,8,2070.75,16566,+,N,-,.048518151,60
+N-,trivpro,.26271722,.040197346,-.050428469,.12791811,-.321026,.051584523,.00010692845,.70259333,.00015448888,.10386942,.054410852,.10294433,.030399755,10,391.39999,3914,+,N,-,-.05830878,60
+N-,coinsbit,.022610145,.0061386432,.0061158147,.03101615,-.05325672,.0088482983,.0003826257,.84410667,3.2823888e-08,.0038302245,.00062506896,.00067508145,.99282593,96,911.13544,87469,+,N,-,-.030646576,60
+N-,switcheo,.98596358,.41018429,.95009065,.55711013,-.93464941,.27834529,.047208223,.131891,.012119442,.30976599,.23950459,.30805922,.13862917,8,130,1040,+,N,-,.051314175,60
+N-,gopaxkr,.38716766,.067454971,.097186983,.30477893,-.48626393,.071350768,1.2940129e-07,.75056696,1.0814362e-09,.013304235,.36168507,.015619474,.61398578,90,375.06668,33756,+,N,-,-.099096268,60
+N-,kucoinfts,.0009747842,.00043793439,.00067254202,.0029143894,-.0012686155,.00052687409,.027353447,.8177774,.017131103,.00016540037,.083159834,.00014697966,.012969779,169,374.78699,63339,+,N,-,-.00029383128,60
+N-,lykke,.18535241,.024725767,-.081922285,.14587538,-.27118438,.039966583,7.1848191e-12,.5753057,3.1330186e-10,.030260725,.029349122,.029254807,.42099097,139,226.18706,31440,+,N,-,-.08583197,60
+N-,bitker,.41898724,.10210203,.40669686,.27523413,-.70364362,.090197921,.0093218349,.19955005,.00055456045,.3048068,.33733621,.30484143,.0019334882,6,113.5,681,+,N,-,-.28465638,60
+N-,latoken,.092045687,.018907087,.095421895,.085296214,-.11736237,.02350256,1.6289250e-06,.26394117,8.9021580e-07,.0024842094,.0030253315,.0023500742,.70925039,397,699.96722,277887,+,N,-,-.025316685,60
+N-,mercadobitcoin,.29092896,.033331085,-.17661488,.10050369,-.31982601,.032427162,3.9954653e-16,.080111057,1.5005903e-19,.042464498,.15224679,.044601519,.12350775,247,632.37653,156197,+,N,-,-.028897047,60
+N-,bithumb,.32612455,.090433754,.31015781,.19309323,-.25463897,.059195679,.00036394034,.10927249,.000022986487,.023978373,3.7830805e-06,.023655051,.15004744,300,731.72333,219517,+,N,-,.071485579,60
+N-,bithumbpro,.044256248,.021557394,-.011105579,.070307247,-.069398068,.016566593,.043474294,.87490356,.000073921292,.001608479,.13382183,.0014894672,.83944559,78,623.26923,48615,+,N,-,-.02514182,60
+N-,deribit,.030509721,.0069755237,-.0021219731,.0226919,-.049283125,.010825183,.00015313884,.92616248,.000094138952,.019246407,.021687681,.019314893,.060620282,29,642.41382,18630,+,N,-,-.018773403,60
+N-,buda,.42786056,.093169309,-.42755347,.3664664,-.59024823,.14211801,.00017648043,.25705817,.00049165334,.015243275,.033236664,.0024934968,.85101014,21,750.42859,15759,+,N,-,-.16238767,60
+N-,bitexlive,.26965755,.069545075,.26278481,.15101305,-.4098185,.066855244,.00093684567,.097199433,5.4519692e-06,.12374806,.35347709,.10635119,.58470196,21,700.28571,14706,+,N,-,-.14016095,60
+N-,bitcointrade,.30409104,.034474526,-.051998194,.030895146,-.40000394,.019794973,.00091160164,.16765317,.000035404326,.25632569,.94549888,.25727358,.00093781168,5,575.40002,2877,+,N,-,-.095912904,60
+N-,gateioperp,.0014321124,.00036872769,-.0023533022,.0021021513,-.0011221487,.00041658463,.00015044019,.26462653,.0078251287,.001239956,.039387446,.0021731185,.04834272,160,224.45625,35913,+,N,-,.00030996371,60
+N-,coinspro,.26788399,.045015328,-.16370498,.10989017,-.31716767,.031748675,.000035417561,.15848036,9.4584642e-08,.12008426,.18706803,.12019242,.32870194,15,270.73334,4061,+,N,-,-.049283683,60
+N-,instantbitex,.69401067,.11709565,-.43802491,.51524055,-1.1650772,.1582536,.0095981043,.45771489,.0051802206,.28698,.60192376,.28228584,.019983537,4,227.25,909,+,N,-,-.47106653,60
+N-,binancedex,.093258992,.027969893,-.14550923,.11339918,-.11991411,.03167681,.0026690066,.21120441,.00085756625,.029227709,.17003873,.029268224,.29813933,26,623.03845,16199,+,N,-,-.026655123,60
+N-,bitforex,.17809288,.041297637,.24394244,.16258471,-.15955214,.046186231,.000024046538,.13489373,.00065716839,.011468354,.13450538,.013091386,.1881344,229,360.37991,82527,+,N,-,.01854074,60
+N-,tokenomy,.094353847,.022549761,.61431807,.31738788,-.19502322,.028313151,.0086194966,.11070108,.00098723744,.0033906025,.007933151,.0034338224,.00082339789,6,335.83334,2015,+,N,-,-.10066938,60
+N-,coinbene,.04218388,.019155646,.11536299,.06760557,-.047846127,.023512539,.032201111,.094014488,.04707285,.0039238939,.46523368,.0058523305,.88818985,52,217.96153,11334,+,N,-,-.0056622475,60
+N-,bitstamp,.046372086,.0080568669,-.047592774,.032051131,-.088992938,.011320115,2.7424617e-08,.13893919,1.4598850e-13,.012317269,.26284775,.011802539,.24098371,231,818.5498,189085,+,N,-,-.042620853,60
+N-,kraken,.036526721,.016533028,.067462176,.038012978,-.069939502,.014996898,.027481686,.0763878,3.7346526e-06,.0041560316,.00013792224,.0038883656,.17289557,688,871.15991,599358,+,N,-,-.033412781,60
+N-,bitgetfts,.0018112073,.00025268921,.00013799361,.0012517102,-.0021178066,.00026891613,2.2623353e-11,.9123466,3.9275413e-13,.0028383024,.00245637,.0027723808,.22983193,170,288.88235,49110,+,N,-,-.00030659931,60
+N-,huobijp,.083835371,.017558111,.065363467,.10764953,-.2270129,.033813849,.000024202936,.54715788,4.7075137e-08,.067447267,3.4450653e-07,.065059915,.040040053,41,584.95123,23983,+,N,-,-.14317754,60
+N-,ice3x,.40618142,.073693186,-.033222191,.66550058,-.71866822,.094954811,.00025749716,.96116871,.000019071687,.021718012,.44269538,.018001357,.75834274,11,343.36365,3777,+,N,-,-.3124868,60
+N-,whitebit,.071744397,.027907897,.17820579,.099788107,-.086983919,.02802079,.012276096,.078455999,.0027522999,.0098925866,.11014888,.0099872528,.31462678,71,351.0141,24922,+,N,-,-.015239522,60
+N-,binanceje,.10170693,.033565298,.13585995,.082824729,-.12112776,.029759651,.014243887,.13535637,.0027988015,.0085633248,.0083618462,.0086175799,.035793152,10,359.39999,3594,+,N,-,-.019420832,60
+N-,bequant,.041318387,.012471884,.11525146,.058634918,-.096731432,.015894141,.0012601539,.051938862,1.8349379e-08,.0077420999,.014862745,.0077314763,.82912034,108,450.80554,48687,+,N,-,-.055413045,60
+N-,bitz,.019685091,.0077375481,.013854205,.082345329,-.040957317,.012518035,.012282233,.86668593,.0014107601,.0017438655,.00049120525,.00052123074,.98266035,116,298.98276,34682,+,N,-,-.021272225,60
+N-,crex24,.15795802,.030439192,-.052592345,.16398051,-.2394539,.042514585,3.2668352e-06,.74965811,6.5812793e-07,.0092442688,.074781083,.0094547104,.66305697,55,412.30908,22677,+,N,-,-.081495881,60
+N-,vindax,.26285747,.03953981,.075889237,.24467088,-.30255073,.047774691,.00029108298,.76546335,.00039160333,.047575772,.37277845,.046664204,.61705542,8,341.375,2731,+,N,-,-.039693266,60
+N-,therocktrading,.1194956,.04534639,.24850121,.14199276,-.20628196,.051415794,.016311252,.096234158,.00074541598,.013702126,.40513206,.011140223,.40880761,20,932.84998,18657,+,N,-,-.08678636,60
